time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1698	1.35494	5.13173	0.226732	0.181335	radar	4.7514	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3907	1.43047	5.08711	0.244648	0.191132	lidar	1.12695	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6205	1.50484	4.87016	0.261631	0.200133	radar	2.72213	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8369	1.53623	4.82415	0.259295	0.18679	lidar	1.01354	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1069	1.58978	5.01729	0.260854	0.177658	radar	2.5258	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3883	1.63916	5.07908	0.259759	0.166638	lidar	2.14863	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.618	1.69359	4.9856	0.264883	0.163389	radar	0.618361	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8453	1.75711	4.96211	0.273026	0.163383	lidar	0.241278	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1053	1.84741	5.14877	0.287669	0.169895	radar	1.49162	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3495	1.88047	5.12395	0.279328	0.15143	lidar	0.628768	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6069	1.94505	5.23541	0.282227	0.145835	radar	0.599295	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8108	2.07236	5.18292	0.316163	0.175107	lidar	3.28904	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0814	2.18314	5.3672	0.333409	0.183688	radar	2.5364	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2904	2.31995	5.3204	0.366717	0.210208	lidar	2.74882	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4654	2.44854	4.96241	0.401113	0.238789	radar	11.3108	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7146	2.56754	5.01336	0.419045	0.245359	lidar	0.970376	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9349	2.67346	4.98242	0.433561	0.248016	radar	0.154609	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1641	2.82889	5.02742	0.465332	0.26915	lidar	0.921961	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4166	2.94482	5.22761	0.473235	0.261406	radar	1.16539	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6217	3.02096	5.14592	0.472278	0.246102	lidar	2.12497	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8553	3.17678	5.26833	0.497396	0.259293	radar	3.50423	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0695	3.37017	5.30239	0.538673	0.290137	lidar	1.34544	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2806	3.52907	5.16282	0.566402	0.306554	radar	2.906	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4961	3.71958	5.21239	0.601181	0.327732	lidar	0.813857	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7067	3.85036	5.16796	0.611531	0.321452	radar	0.929026	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9269	3.99838	5.1814	0.62511	0.318772	lidar	0.13658	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1234	4.14787	5.01226	0.644977	0.325367	radar	1.43014	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3182	4.34631	5.06118	0.678914	0.344559	lidar	0.640791	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5301	4.50922	5.13314	0.692776	0.340176	radar	0.655568	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7052	4.67913	5.10874	0.715422	0.346177	lidar	0.549135	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8622	4.84351	4.79916	0.744365	0.36363	radar	3.14893	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0216	5.07436	4.86715	0.789238	0.392526	lidar	1.2831	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1951	5.22995	4.84528	0.801465	0.384508	radar	1.29054	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.348	5.41809	4.84511	0.82806	0.392383	lidar	0.211097	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5078	5.57005	4.76769	0.839608	0.384304	radar	2.51923	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.691	5.70421	4.73337	0.837581	0.361514	lidar	0.942711	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8412	5.88198	4.65037	0.859567	0.367366	radar	0.534714	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0093	6.08827	4.71779	0.882821	0.372971	lidar	1.10343	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1641	6.28975	4.79249	0.904377	0.375351	radar	0.998542	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2851	6.54146	4.86286	0.949738	0.403948	lidar	1.25562	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4209	6.74662	4.83983	0.973866	0.409068	radar	0.317899	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.562	6.88886	4.74698	0.973929	0.386942	lidar	1.08595	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7125	7.0999	4.89144	0.988433	0.379219	radar	0.771719	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9047	7.25002	4.85671	0.973627	0.343524	lidar	3.54703	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9985	7.43273	4.62634	1.00221	0.359372	radar	3.45845	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0881	7.71132	4.74037	1.05388	0.395581	lidar	2.03518	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2111	7.91582	4.78368	1.06893	0.389257	radar	0.263346	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2889	8.13852	4.77367	1.10233	0.40362	lidar	1.33573	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3883	8.34976	4.83244	1.1208	0.399111	radar	2.11132	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4808	8.49396	4.6811	1.12434	0.38068	lidar	3.01754	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
